# P_lin(k1,k2,k3) at z_eff=1.483 SGC ks grid in /home/marina/eBOSS-QSO-DR16/bis-fits/input/models/k_eff-bisp.txt 
#  P_lin(k1) P_lin(k2) P_lin(k3)
4.276654942897117508e+03 2.850223394387377084e+03 2.025049377228653839e+03
4.276654942897117508e+03 2.689035738574300467e+03 2.689035738574300467e+03
4.276654942897117508e+03 2.689035738574300467e+03 2.542702936847918409e+03
4.276654942897117508e+03 2.689035738574300467e+03 2.387998906882500251e+03
4.276654942897117508e+03 2.689035738574300467e+03 2.214588622688052965e+03
4.276654942897117508e+03 2.689035738574300467e+03 2.025049377228653839e+03
4.276654942897117508e+03 2.542702936847918409e+03 2.542702936847918409e+03
4.276654942897117508e+03 2.542702936847918409e+03 2.387998906882500251e+03
4.276654942897117508e+03 2.542702936847918409e+03 2.214588622688052965e+03
4.276654942897117508e+03 2.542702936847918409e+03 2.025049377228653839e+03
4.276654942897117508e+03 2.387998906882500251e+03 2.387998906882500251e+03
4.276654942897117508e+03 2.387998906882500251e+03 2.214588622688052965e+03
4.276654942897117508e+03 2.387998906882500251e+03 2.025049377228653839e+03
4.276654942897117508e+03 2.214588622688052965e+03 2.214588622688052965e+03
4.276654942897117508e+03 2.214588622688052965e+03 2.025049377228653839e+03
4.276654942897117508e+03 2.025049377228653839e+03 2.025049377228653839e+03
3.753644626020568467e+03 3.753644626020568467e+03 3.753644626020568467e+03
3.753644626020568467e+03 3.753644626020568467e+03 3.350685121310249087e+03
3.753644626020568467e+03 3.753644626020568467e+03 3.058638102891974086e+03
3.753644626020568467e+03 3.753644626020568467e+03 2.850223394387377084e+03
3.753644626020568467e+03 3.753644626020568467e+03 2.689035738574300467e+03
3.753644626020568467e+03 3.753644626020568467e+03 2.542702936847918409e+03
3.753644626020568467e+03 3.753644626020568467e+03 2.387998906882500251e+03
3.753644626020568467e+03 3.753644626020568467e+03 2.214588622688052965e+03
3.753644626020568467e+03 3.753644626020568467e+03 2.025049377228653839e+03
3.753644626020568467e+03 3.350685121310249087e+03 3.350685121310249087e+03
3.753644626020568467e+03 3.350685121310249087e+03 3.058638102891974086e+03
3.753644626020568467e+03 3.350685121310249087e+03 2.850223394387377084e+03
3.753644626020568467e+03 3.350685121310249087e+03 2.689035738574300467e+03
3.753644626020568467e+03 3.350685121310249087e+03 2.542702936847918409e+03
3.753644626020568467e+03 3.350685121310249087e+03 2.387998906882500251e+03
3.753644626020568467e+03 3.350685121310249087e+03 2.214588622688052965e+03
3.753644626020568467e+03 3.350685121310249087e+03 2.025049377228653839e+03
3.753644626020568467e+03 3.058638102891974086e+03 3.058638102891974086e+03
3.753644626020568467e+03 3.058638102891974086e+03 2.850223394387377084e+03
3.753644626020568467e+03 3.058638102891974086e+03 2.689035738574300467e+03
3.753644626020568467e+03 3.058638102891974086e+03 2.542702936847918409e+03
3.753644626020568467e+03 3.058638102891974086e+03 2.387998906882500251e+03
3.753644626020568467e+03 3.058638102891974086e+03 2.214588622688052965e+03
3.753644626020568467e+03 3.058638102891974086e+03 2.025049377228653839e+03
3.753644626020568467e+03 2.850223394387377084e+03 2.850223394387377084e+03
3.753644626020568467e+03 2.850223394387377084e+03 2.689035738574300467e+03
3.753644626020568467e+03 2.850223394387377084e+03 2.542702936847918409e+03
3.753644626020568467e+03 2.850223394387377084e+03 2.387998906882500251e+03
3.753644626020568467e+03 2.850223394387377084e+03 2.214588622688052965e+03
3.753644626020568467e+03 2.850223394387377084e+03 2.025049377228653839e+03
3.753644626020568467e+03 2.689035738574300467e+03 2.689035738574300467e+03
3.753644626020568467e+03 2.689035738574300467e+03 2.542702936847918409e+03
3.753644626020568467e+03 2.689035738574300467e+03 2.387998906882500251e+03
3.753644626020568467e+03 2.689035738574300467e+03 2.214588622688052965e+03
3.753644626020568467e+03 2.689035738574300467e+03 2.025049377228653839e+03
3.753644626020568467e+03 2.542702936847918409e+03 2.542702936847918409e+03
3.753644626020568467e+03 2.542702936847918409e+03 2.387998906882500251e+03
3.753644626020568467e+03 2.542702936847918409e+03 2.214588622688052965e+03
3.753644626020568467e+03 2.542702936847918409e+03 2.025049377228653839e+03
3.753644626020568467e+03 2.387998906882500251e+03 2.387998906882500251e+03
3.753644626020568467e+03 2.387998906882500251e+03 2.214588622688052965e+03
3.753644626020568467e+03 2.387998906882500251e+03 2.025049377228653839e+03
3.753644626020568467e+03 2.214588622688052965e+03 2.214588622688052965e+03
3.753644626020568467e+03 2.214588622688052965e+03 2.025049377228653839e+03
3.753644626020568467e+03 2.025049377228653839e+03 2.025049377228653839e+03
3.350685121310249087e+03 3.350685121310249087e+03 3.350685121310249087e+03
3.350685121310249087e+03 3.350685121310249087e+03 3.058638102891974086e+03
3.350685121310249087e+03 3.350685121310249087e+03 2.850223394387377084e+03
3.350685121310249087e+03 3.350685121310249087e+03 2.689035738574300467e+03
3.350685121310249087e+03 3.350685121310249087e+03 2.542702936847918409e+03
3.350685121310249087e+03 3.350685121310249087e+03 2.387998906882500251e+03
3.350685121310249087e+03 3.350685121310249087e+03 2.214588622688052965e+03
3.350685121310249087e+03 3.350685121310249087e+03 2.025049377228653839e+03
3.350685121310249087e+03 3.058638102891974086e+03 3.058638102891974086e+03
3.350685121310249087e+03 3.058638102891974086e+03 2.850223394387377084e+03
3.350685121310249087e+03 3.058638102891974086e+03 2.689035738574300467e+03
3.350685121310249087e+03 3.058638102891974086e+03 2.542702936847918409e+03
3.350685121310249087e+03 3.058638102891974086e+03 2.387998906882500251e+03
3.350685121310249087e+03 3.058638102891974086e+03 2.214588622688052965e+03
3.350685121310249087e+03 3.058638102891974086e+03 2.025049377228653839e+03
3.350685121310249087e+03 2.850223394387377084e+03 2.850223394387377084e+03
3.350685121310249087e+03 2.850223394387377084e+03 2.689035738574300467e+03
3.350685121310249087e+03 2.850223394387377084e+03 2.542702936847918409e+03
3.350685121310249087e+03 2.850223394387377084e+03 2.387998906882500251e+03
3.350685121310249087e+03 2.850223394387377084e+03 2.214588622688052965e+03
3.350685121310249087e+03 2.850223394387377084e+03 2.025049377228653839e+03
3.350685121310249087e+03 2.689035738574300467e+03 2.689035738574300467e+03
3.350685121310249087e+03 2.689035738574300467e+03 2.542702936847918409e+03
3.350685121310249087e+03 2.689035738574300467e+03 2.387998906882500251e+03
3.350685121310249087e+03 2.689035738574300467e+03 2.214588622688052965e+03
3.350685121310249087e+03 2.689035738574300467e+03 2.025049377228653839e+03
3.350685121310249087e+03 2.542702936847918409e+03 2.542702936847918409e+03
3.350685121310249087e+03 2.542702936847918409e+03 2.387998906882500251e+03
3.350685121310249087e+03 2.542702936847918409e+03 2.214588622688052965e+03
3.350685121310249087e+03 2.542702936847918409e+03 2.025049377228653839e+03
3.350685121310249087e+03 2.387998906882500251e+03 2.387998906882500251e+03
3.350685121310249087e+03 2.387998906882500251e+03 2.214588622688052965e+03
3.350685121310249087e+03 2.387998906882500251e+03 2.025049377228653839e+03
3.350685121310249087e+03 2.214588622688052965e+03 2.214588622688052965e+03
3.350685121310249087e+03 2.214588622688052965e+03 2.025049377228653839e+03
3.350685121310249087e+03 2.025049377228653839e+03 2.025049377228653839e+03
3.058638102891974086e+03 3.058638102891974086e+03 3.058638102891974086e+03
3.058638102891974086e+03 3.058638102891974086e+03 2.850223394387377084e+03
3.058638102891974086e+03 3.058638102891974086e+03 2.689035738574300467e+03
3.058638102891974086e+03 3.058638102891974086e+03 2.542702936847918409e+03
3.058638102891974086e+03 3.058638102891974086e+03 2.387998906882500251e+03
3.058638102891974086e+03 3.058638102891974086e+03 2.214588622688052965e+03
3.058638102891974086e+03 3.058638102891974086e+03 2.025049377228653839e+03
3.058638102891974086e+03 2.850223394387377084e+03 2.850223394387377084e+03
3.058638102891974086e+03 2.850223394387377084e+03 2.689035738574300467e+03
3.058638102891974086e+03 2.850223394387377084e+03 2.542702936847918409e+03
3.058638102891974086e+03 2.850223394387377084e+03 2.387998906882500251e+03
3.058638102891974086e+03 2.850223394387377084e+03 2.214588622688052965e+03
3.058638102891974086e+03 2.850223394387377084e+03 2.025049377228653839e+03
3.058638102891974086e+03 2.689035738574300467e+03 2.689035738574300467e+03
3.058638102891974086e+03 2.689035738574300467e+03 2.542702936847918409e+03
3.058638102891974086e+03 2.689035738574300467e+03 2.387998906882500251e+03
3.058638102891974086e+03 2.689035738574300467e+03 2.214588622688052965e+03
3.058638102891974086e+03 2.689035738574300467e+03 2.025049377228653839e+03
3.058638102891974086e+03 2.542702936847918409e+03 2.542702936847918409e+03
3.058638102891974086e+03 2.542702936847918409e+03 2.387998906882500251e+03
3.058638102891974086e+03 2.542702936847918409e+03 2.214588622688052965e+03
3.058638102891974086e+03 2.542702936847918409e+03 2.025049377228653839e+03
3.058638102891974086e+03 2.387998906882500251e+03 2.387998906882500251e+03
3.058638102891974086e+03 2.387998906882500251e+03 2.214588622688052965e+03
3.058638102891974086e+03 2.387998906882500251e+03 2.025049377228653839e+03
3.058638102891974086e+03 2.214588622688052965e+03 2.214588622688052965e+03
3.058638102891974086e+03 2.214588622688052965e+03 2.025049377228653839e+03
3.058638102891974086e+03 2.025049377228653839e+03 2.025049377228653839e+03
2.850223394387377084e+03 2.850223394387377084e+03 2.850223394387377084e+03
2.850223394387377084e+03 2.850223394387377084e+03 2.689035738574300467e+03
2.850223394387377084e+03 2.850223394387377084e+03 2.542702936847918409e+03
2.850223394387377084e+03 2.850223394387377084e+03 2.387998906882500251e+03
2.850223394387377084e+03 2.850223394387377084e+03 2.214588622688052965e+03
2.850223394387377084e+03 2.850223394387377084e+03 2.025049377228653839e+03
2.850223394387377084e+03 2.689035738574300467e+03 2.689035738574300467e+03
2.850223394387377084e+03 2.689035738574300467e+03 2.542702936847918409e+03
2.850223394387377084e+03 2.689035738574300467e+03 2.387998906882500251e+03
2.850223394387377084e+03 2.689035738574300467e+03 2.214588622688052965e+03
2.850223394387377084e+03 2.689035738574300467e+03 2.025049377228653839e+03
2.850223394387377084e+03 2.542702936847918409e+03 2.542702936847918409e+03
2.850223394387377084e+03 2.542702936847918409e+03 2.387998906882500251e+03
2.850223394387377084e+03 2.542702936847918409e+03 2.214588622688052965e+03
2.850223394387377084e+03 2.542702936847918409e+03 2.025049377228653839e+03
2.850223394387377084e+03 2.387998906882500251e+03 2.387998906882500251e+03
2.850223394387377084e+03 2.387998906882500251e+03 2.214588622688052965e+03
2.850223394387377084e+03 2.387998906882500251e+03 2.025049377228653839e+03
2.850223394387377084e+03 2.214588622688052965e+03 2.214588622688052965e+03
2.850223394387377084e+03 2.214588622688052965e+03 2.025049377228653839e+03
2.850223394387377084e+03 2.025049377228653839e+03 2.025049377228653839e+03
2.689035738574300467e+03 2.689035738574300467e+03 2.689035738574300467e+03
2.689035738574300467e+03 2.689035738574300467e+03 2.542702936847918409e+03
2.689035738574300467e+03 2.689035738574300467e+03 2.387998906882500251e+03
2.689035738574300467e+03 2.689035738574300467e+03 2.214588622688052965e+03
2.689035738574300467e+03 2.689035738574300467e+03 2.025049377228653839e+03
2.689035738574300467e+03 2.542702936847918409e+03 2.542702936847918409e+03
2.689035738574300467e+03 2.542702936847918409e+03 2.387998906882500251e+03
2.689035738574300467e+03 2.542702936847918409e+03 2.214588622688052965e+03
2.689035738574300467e+03 2.542702936847918409e+03 2.025049377228653839e+03
2.689035738574300467e+03 2.387998906882500251e+03 2.387998906882500251e+03
2.689035738574300467e+03 2.387998906882500251e+03 2.214588622688052965e+03
2.689035738574300467e+03 2.387998906882500251e+03 2.025049377228653839e+03
2.689035738574300467e+03 2.214588622688052965e+03 2.214588622688052965e+03
2.689035738574300467e+03 2.214588622688052965e+03 2.025049377228653839e+03
2.689035738574300467e+03 2.025049377228653839e+03 2.025049377228653839e+03
2.542702936847918409e+03 2.542702936847918409e+03 2.542702936847918409e+03
2.542702936847918409e+03 2.542702936847918409e+03 2.387998906882500251e+03
2.542702936847918409e+03 2.542702936847918409e+03 2.214588622688052965e+03
2.542702936847918409e+03 2.542702936847918409e+03 2.025049377228653839e+03
2.542702936847918409e+03 2.387998906882500251e+03 2.387998906882500251e+03
2.542702936847918409e+03 2.387998906882500251e+03 2.214588622688052965e+03
2.542702936847918409e+03 2.387998906882500251e+03 2.025049377228653839e+03
2.542702936847918409e+03 2.214588622688052965e+03 2.214588622688052965e+03
2.542702936847918409e+03 2.214588622688052965e+03 2.025049377228653839e+03
2.542702936847918409e+03 2.025049377228653839e+03 2.025049377228653839e+03
2.387998906882500251e+03 2.387998906882500251e+03 2.387998906882500251e+03
2.387998906882500251e+03 2.387998906882500251e+03 2.214588622688052965e+03
2.387998906882500251e+03 2.387998906882500251e+03 2.025049377228653839e+03
2.387998906882500251e+03 2.214588622688052965e+03 2.214588622688052965e+03
2.387998906882500251e+03 2.214588622688052965e+03 2.025049377228653839e+03
2.387998906882500251e+03 2.025049377228653839e+03 2.025049377228653839e+03
2.214588622688052965e+03 2.214588622688052965e+03 2.214588622688052965e+03
2.214588622688052965e+03 2.214588622688052965e+03 2.025049377228653839e+03
2.214588622688052965e+03 2.025049377228653839e+03 2.025049377228653839e+03
2.025049377228653839e+03 2.025049377228653839e+03 2.025049377228653839e+03
